Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,Mossbauer Internal
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,117
Lower Discriminator:,85
Calibration Coefficients:Elapsed Real Time:,0.0
Elapsed Live Time:,0.0
Start Time:,February 22, 2021, 01:56:38
End Time:,February 22, 2021, 01:56:38
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,208
1,,225
2,,215
3,,213
4,,217
5,,226
6,,195
7,,194
8,,203
9,,200
10,,197
11,,220
12,,211
13,,221
14,,221
15,,205
16,,185
17,,202
18,,237
19,,202
20,,197
21,,188
22,,215
23,,198
24,,225
25,,206
26,,202
27,,211
28,,188
29,,220
30,,217
31,,245
32,,202
33,,209
34,,210
35,,199
36,,207
37,,184
38,,207
39,,187
40,,196
41,,213
42,,191
43,,209
44,,201
45,,214
46,,194
47,,212
48,,212
49,,258
50,,214
51,,193
52,,205
53,,213
54,,222
55,,204
56,,209
57,,212
58,,201
59,,189
60,,236
61,,208
62,,192
63,,206
64,,193
65,,206
66,,223
67,,212
68,,208
69,,199
70,,220
71,,188
72,,176
73,,207
74,,198
75,,198
76,,193
77,,211
78,,194
79,,189
80,,195
81,,222
82,,185
83,,215
84,,189
85,,181
86,,203
87,,188
88,,198
89,,188
90,,198
91,,226
92,,218
93,,231
94,,213
95,,220
96,,223
97,,180
98,,221
99,,215
100,,216
101,,192
102,,218
103,,209
104,,218
105,,196
106,,214
107,,215
108,,224
109,,226
110,,206
111,,219
112,,195
113,,203
114,,201
115,,223
116,,211
117,,217
118,,223
119,,212
120,,230
121,,210
122,,221
123,,217
124,,194
125,,195
126,,201
127,,212
128,,192
129,,219
130,,196
131,,173
132,,216
133,,199
134,,219
135,,198
136,,211
137,,181
138,,169
139,,225
140,,199
141,,200
142,,197
143,,191
144,,203
145,,217
146,,184
147,,184
148,,191
149,,184
150,,208
151,,191
152,,177
153,,215
154,,188
155,,200
156,,158
157,,168
158,,167
159,,131
160,,150
161,,118
162,,105
163,,120
164,,100
165,,108
166,,116
167,,151
168,,140
169,,138
170,,187
171,,168
172,,182
173,,202
174,,203
175,,196
176,,208
177,,191
178,,211
179,,173
180,,172
181,,195
182,,178
183,,199
184,,188
185,,168
186,,180
187,,178
188,,170
189,,178
190,,141
191,,135
192,,127
193,,142
194,,122
195,,113
196,,119
197,,123
198,,136
199,,172
200,,137
201,,174
202,,199
203,,200
204,,187
205,,187
206,,207
207,,189
208,,204
209,,197
210,,185
211,,214
212,,200
213,,202
214,,180
215,,192
216,,172
217,,168
218,,203
219,,204
220,,197
221,,188
222,,144
223,,159
224,,135
225,,110
226,,123
227,,134
228,,135
229,,145
230,,165
231,,153
232,,188
233,,172
234,,161
235,,190
236,,160
237,,169
238,,177
239,,156
240,,177
241,,180
242,,182
243,,174
244,,180
245,,147
246,,131
247,,132
248,,140
249,,140
250,,135
251,,150
252,,152
253,,188
254,,196
255,,181
256,,187
257,,190
258,,208
259,,201
260,,199
261,,176
262,,214
263,,182
264,,186
265,,199
266,,213
267,,187
268,,183
269,,157
270,,192
271,,167
272,,169
273,,164
274,,173
275,,145
276,,185
277,,142
278,,116
279,,115
280,,132
281,,126
282,,129
283,,142
284,,160
285,,183
286,,156
287,,174
288,,186
289,,206
290,,189
291,,200
292,,178
293,,209
294,,197
295,,209
296,,191
297,,181
298,,209
299,,169
300,,209
301,,170
302,,179
303,,200
304,,167
305,,183
306,,169
307,,147
308,,143
309,,123
310,,123
311,,127
312,,124
313,,131
314,,115
315,,176
316,,168
317,,164
318,,181
319,,192
320,,185
321,,170
322,,202
323,,224
324,,196
325,,168
326,,213
327,,212
328,,204
329,,212
330,,194
331,,200
332,,183
333,,188
334,,208
335,,181
336,,191
337,,197
338,,204
339,,203
340,,204
341,,209
342,,225
343,,198
344,,196
345,,193
346,,192
347,,213
348,,196
349,,219
350,,206
351,,210
352,,219
353,,208
354,,200
355,,202
356,,239
357,,208
358,,194
359,,194
360,,194
361,,197
362,,187
363,,231
364,,195
365,,193
366,,192
367,,207
368,,212
369,,206
370,,211
371,,210
372,,217
373,,215
374,,220
375,,201
376,,207
377,,211
378,,194
379,,194
380,,209
381,,165
382,,202
383,,211
384,,207
385,,218
386,,208
387,,228
388,,203
389,,218
390,,207
391,,193
392,,212
393,,179
394,,197
395,,232
396,,204
397,,226
398,,205
399,,210
400,,198
401,,221
402,,201
403,,207
404,,200
405,,211
406,,220
407,,207
408,,224
409,,236
410,,209
411,,205
412,,202
413,,230
414,,227
415,,182
416,,218
417,,189
418,,212
419,,206
420,,235
421,,208
422,,234
423,,202
424,,197
425,,220
426,,193
427,,225
428,,201
429,,195
430,,192
431,,225
432,,213
433,,204
434,,205
435,,210
436,,197
437,,217
438,,207
439,,209
440,,223
441,,203
442,,225
443,,192
444,,213
445,,206
446,,191
447,,207
448,,250
449,,232
450,,186
451,,216
452,,213
453,,230
454,,227
455,,223
456,,221
457,,203
458,,186
459,,198
460,,206
461,,233
462,,187
463,,206
464,,215
465,,206
466,,213
467,,219
468,,199
469,,195
470,,172
471,,206
472,,185
473,,193
474,,215
475,,180
476,,225
477,,190
478,,191
479,,228
480,,194
481,,219
482,,219
483,,208
484,,204
485,,204
486,,219
487,,220
488,,219
489,,204
490,,235
491,,204
492,,218
493,,207
494,,190
495,,204
496,,207
497,,215
498,,213
499,,203
500,,207
501,,233
502,,232
503,,226
504,,203
505,,199
506,,201
507,,216
508,,204
509,,205
510,,229
511,,202
512,,189
513,,219
514,,194
515,,207
516,,216
517,,206
518,,239
519,,212
520,,220
521,,212
522,,215
523,,223
524,,240
525,,230
526,,229
527,,216
528,,224
529,,221
530,,228
531,,220
532,,224
533,,206
534,,209
535,,203
536,,217
537,,228
538,,227
539,,209
540,,204
541,,177
542,,197
543,,220
544,,199
545,,232
546,,205
547,,228
548,,200
549,,211
550,,220
551,,229
552,,224
553,,188
554,,186
555,,201
556,,225
557,,179
558,,189
559,,192
560,,213
561,,195
562,,224
563,,219
564,,224
565,,186
566,,192
567,,214
568,,203
569,,186
570,,210
571,,186
572,,205
573,,189
574,,214
575,,227
576,,203
577,,183
578,,234
579,,233
580,,186
581,,191
582,,214
583,,203
584,,224
585,,217
586,,184
587,,200
588,,203
589,,185
590,,208
591,,202
592,,217
593,,186
594,,217
595,,212
596,,208
597,,188
598,,217
599,,211
600,,198
601,,209
602,,195
603,,203
604,,202
605,,222
606,,202
607,,215
608,,217
609,,205
610,,185
611,,216
612,,198
613,,211
614,,199
615,,214
616,,209
617,,215
618,,187
619,,207
620,,204
621,,188
622,,231
623,,193
624,,206
625,,213
626,,205
627,,219
628,,212
629,,220
630,,196
631,,211
632,,218
633,,244
634,,190
635,,201
636,,175
637,,196
638,,221
639,,187
640,,209
641,,223
642,,241
643,,189
644,,230
645,,228
646,,199
647,,207
648,,190
649,,232
650,,214
651,,203
652,,191
653,,170
654,,179
655,,245
656,,211
657,,198
658,,208
659,,216
660,,188
661,,188
662,,203
663,,173
664,,191
665,,196
666,,163
667,,163
668,,144
669,,145
670,,125
671,,90
672,,128
673,,84
674,,127
675,,150
676,,136
677,,175
678,,169
679,,175
680,,216
681,,185
682,,171
683,,203
684,,195
685,,192
686,,185
687,,178
688,,181
689,,202
690,,175
691,,185
692,,206
693,,186
694,,198
695,,187
696,,180
697,,164
698,,138
699,,157
700,,127
701,,145
702,,123
703,,117
704,,127
705,,124
706,,111
707,,128
708,,129
709,,162
710,,180
711,,195
712,,188
713,,167
714,,189
715,,212
716,,202
717,,209
718,,215
719,,195
720,,185
721,,202
722,,203
723,,216
724,,191
725,,187
726,,213
727,,190
728,,179
729,,168
730,,143
731,,162
732,,152
733,,116
734,,114
735,,147
736,,137
737,,173
738,,163
739,,149
740,,188
741,,172
742,,162
743,,170
744,,174
745,,160
746,,153
747,,185
748,,171
749,,157
750,,186
751,,172
752,,177
753,,166
754,,156
755,,122
756,,126
757,,128
758,,108
759,,139
760,,147
761,,164
762,,151
763,,192
764,,198
765,,187
766,,188
