Channel,,Counts
0,,2545
1,,2502
2,,2498
3,,2369
4,,2508
5,,2498
6,,2516
7,,2490
8,,2522
9,,2452
10,,2380
11,,2504
12,,2353
13,,2362
14,,2459
15,,2391
16,,2443
17,,2406
18,,2500
19,,2496
20,,2539
21,,2432
22,,2406
23,,2450
24,,2507
25,,2490
26,,2382
27,,2409
28,,2449
29,,2479
30,,2463
31,,2427
32,,2464
33,,2394
34,,2422
35,,2493
36,,2583
37,,2456
38,,2397
39,,2468
40,,2430
41,,2444
42,,2340
43,,2424
44,,2436
45,,2352
46,,2382
47,,2566
48,,2512
49,,2431
50,,2486
51,,2410
52,,2445
53,,2412
54,,2449
55,,2440
56,,2450
57,,2543
58,,2471
59,,2483
60,,2477
61,,2510
62,,2521
63,,2515
64,,2433
65,,2468
66,,2438
67,,2537
68,,2425
69,,2500
70,,2460
71,,2451
72,,2430
73,,2362
74,,2431
75,,2470
76,,2425
77,,2383
78,,2551
79,,2426
80,,2485
81,,2441
82,,2440
83,,2466
84,,2448
85,,2441
86,,2403
87,,2555
88,,2477
89,,2497
90,,2385
91,,2548
92,,2517
93,,2448
94,,2549
95,,2397
96,,2495
97,,2483
98,,2516
99,,2382
100,,2471
101,,2448
102,,2448
103,,2470
104,,2462
105,,2499
106,,2410
107,,2414
108,,2448
109,,2411
110,,2425
111,,2510
112,,2467
113,,2475
114,,2444
115,,2457
116,,2339
117,,2419
118,,2507
119,,2380
120,,2476
121,,2406
122,,2476
123,,2381
124,,2536
125,,2518
126,,2596
127,,2404
128,,2418
129,,2429
130,,2479
131,,2480
132,,2429
133,,2394
134,,2438
135,,2520
136,,2342
137,,2393
138,,2533
139,,2316
140,,2445
141,,2428
142,,2449
143,,2484
144,,2424
145,,2512
146,,2457
147,,2380
148,,2405
149,,2478
150,,2518
151,,2469
152,,2398
153,,2426
154,,2419
155,,2422
156,,2390
157,,2372
158,,2467
159,,2459
160,,2424
161,,2396
162,,2372
163,,2603
164,,2482
165,,2498
166,,2387
167,,2412
168,,2451
169,,2512
170,,2446
171,,2472
172,,2452
173,,2454
174,,2405
175,,2473
176,,2453
177,,2468
178,,2442
179,,2498
180,,2459
181,,2486
182,,2531
183,,2377
184,,2487
185,,2424
186,,2569
187,,2485
188,,2429
189,,2510
190,,2426
191,,2516
192,,2511
193,,2469
194,,2477
195,,2434
196,,2422
197,,2443
198,,2437
199,,2485
200,,2531
201,,2498
202,,2516
203,,2472
204,,2389
205,,2418
206,,2403
207,,2440
208,,2434
209,,2443
210,,2411
211,,2449
212,,2404
213,,2530
214,,2486
215,,2427
216,,2454
217,,2463
218,,2426
219,,2432
220,,2462
221,,2497
222,,2460
223,,2358
224,,2510
225,,2298
226,,2206
227,,2131
228,,2136
229,,2237
230,,2357
231,,2409
232,,2476
233,,2429
234,,2499
235,,2471
236,,2392
237,,2410
238,,2517
239,,2454
240,,2555
241,,2406
242,,2427
243,,2526
244,,2399
245,,2448
246,,2412
247,,2418
248,,2402
249,,2290
250,,2208
251,,2102
252,,2117
