Channel,Counts
0,667
1,624
2,656
3,619
4,662
5,660
6,636
7,633
8,648
9,632
10,636
11,618
12,648
13,646
14,638
15,619
16,689
17,614
18,625
19,620
20,591
21,690
22,633
23,641
24,631
25,596
26,620
27,604
28,620
29,657
30,633
31,604
32,655
33,587
34,591
35,611
36,667
37,609
38,637
39,663
40,636
41,663
42,587
43,603
44,612
45,637
46,659
47,626
48,616
49,626
50,625
51,648
52,638
53,661
54,662
55,619
56,657
57,678
58,648
59,637
60,632
61,610
62,638
63,632
64,692
65,660
66,676
67,635
68,631
69,616
70,629
71,619
72,612
73,642
74,646
75,614
76,616
77,638
78,637
79,652
80,653
81,656
82,623
83,594
84,649
85,681
86,615
87,622
88,669
89,630
90,615
91,590
92,679
93,643
94,640
95,607
96,617
97,645
98,651
99,623
100,654
101,593
102,644
103,646
104,662
105,647
106,656
107,606
108,656
109,659
110,670
111,665
112,634
113,604
114,636
115,635
116,596
117,630
118,631
119,618
120,659
121,606
122,628
123,620
124,612
125,647
126,604
127,589
128,620
129,646
130,601
131,662
132,649
133,630
134,614
135,656
136,625
137,603
138,635
139,607
140,593
141,612
142,662
143,603
144,623
145,651
146,656
147,594
148,571
149,610
150,604
151,615
152,539
153,560
154,537
155,550
156,538
157,502
158,488
159,380
160,346
161,358
162,328
163,311
164,362
165,357
166,390
167,424
168,461
169,491
170,490
171,569
172,560
173,575
174,566
175,581
176,530
177,562
178,655
179,540
180,569
181,537
182,605
183,552
184,525
185,526
186,556
187,463
188,481
189,422
190,473
191,377
192,349
193,320
194,335
195,336
196,390
197,384
198,457
199,471
200,493
201,496
202,532
203,530
204,589
205,547
206,596
207,606
208,577
209,567
210,569
211,612
212,564
213,571
214,649
215,572
216,564
217,604
218,521
219,556
220,460
221,463
222,392
223,383
224,380
225,346
226,384
227,444
228,437
229,491
230,517
231,516
232,591
233,533
234,512
235,523
236,496
237,519
238,471
239,591
240,551
241,515
242,531
243,494
244,417
245,421
246,371
247,378
248,390
249,402
250,450
251,515
252,511
253,527
254,563
255,582
256,574
257,570
258,604
259,589
260,590
261,601
262,603
263,582
264,620
265,580
266,541
267,638
268,558
269,536
270,537
271,553
272,494
273,470
274,419
275,393
276,338
277,349
278,322
279,279
280,299
281,343
282,435
283,447
284,485
285,506
286,541
287,514
288,579
289,574
290,575
291,566
292,594
293,587
294,588
295,547
296,579
297,556
298,593
299,537
300,560
301,526
302,514
303,530
304,518
305,430
306,376
307,346
308,336
309,319
310,317
311,319
312,399
313,408
314,417
315,498
316,528
317,561
318,545
319,599
320,575
321,614
322,566
323,596
324,593
325,570
326,629
327,581
328,586
329,649
330,603
331,633
332,653
333,637
334,599
335,676
336,574
337,585
338,615
339,647
340,624
341,630
342,628
343,647
344,659
345,621
346,675
347,602
348,627
349,649
350,608
351,624
352,599
353,611
354,637
355,646
356,571
357,646
358,629
359,640
360,653
361,664
362,637
363,663
364,689
365,688
366,624
367,634
368,620
369,653
370,659
371,621
372,633
373,685
374,653
375,611
376,622
377,636
378,643
379,625
380,631
381,667
382,662
383,593
384,614
385,642
386,614
387,643
388,645
389,615
390,647
391,607
392,648
393,641
394,659
395,617
396,648
397,590
398,618
399,650
400,635
401,617
402,597
403,649
404,606
405,672
406,604
407,637
408,616
409,698
410,592
411,656
412,611
413,661
414,634
415,631
416,621
417,632
418,624
419,662
420,609
421,634
422,605
423,598
424,645
425,651
426,625
427,657
428,618
429,646
430,638
431,656
432,623
433,636
434,603
435,654
436,680
437,633
438,653
439,652
440,692
441,646
442,601
443,616
444,585
445,649
446,672
447,639
448,665
449,659
450,608
451,641
452,629
453,601
454,597
455,671
456,664
457,612
458,625
459,637
460,616
461,659
462,588
463,654
464,651
465,647
466,702
467,605
468,652
469,625
470,650
471,596
472,599
473,604
474,607
475,635
476,632
477,653
478,629
479,634
480,661
481,629
482,636
483,639
484,645
485,638
486,657
487,678
488,643
489,613
490,596
491,651
492,641
493,628
494,626
495,626
496,631
497,595
498,628
499,619
500,597
501,673
502,605
503,643
504,671
505,626
506,633
507,607
508,632
509,644
510,646
511,641
512,602
513,637
514,620
515,588
516,611
517,612
518,630
519,646
520,615
521,606
522,651
523,629
524,646
525,630
526,603
527,644
528,641
529,635
530,617
531,623
532,671
533,691
534,665
535,655
536,614
537,619
538,611
539,616
540,638
541,625
542,630
543,632
544,636
545,614
546,625
547,633
548,619
549,660
550,613
551,625
552,647
553,589
554,658
555,649
556,635
557,667
558,670
559,661
560,651
561,614
562,661
563,680
564,630
565,641
566,667
567,629
568,631
569,606
570,618
571,624
572,653
573,659
574,658
575,637
576,641
577,619
578,636
579,641
580,603
581,691
582,673
583,624
584,661
585,630
586,657
587,637
588,629
589,639
590,655
591,637
592,617
593,648
594,625
595,593
596,681
597,634
598,664
599,638
600,628
601,639
602,624
603,601
604,625
605,644
606,628
607,674
608,642
609,643
610,697
611,625
612,624
613,597
614,620
615,661
616,616
617,676
618,590
619,682
620,636
621,639
622,634
623,587
624,660
625,640
626,626
627,588
628,680
629,680
630,592
631,620
632,628
633,626
634,645
635,611
636,624
637,587
638,700
639,634
640,646
641,632
642,598
643,641
644,599
645,610
646,659
647,659
648,605
649,603
650,622
651,632
652,588
653,590
654,631
655,616
656,604
657,614
658,591
659,580
660,581
661,618
662,557
663,543
664,564
665,500
666,484
667,449
668,404
669,391
670,350
671,322
672,343
673,316
674,353
675,401
676,453
677,516
678,479
679,473
680,512
681,533
682,562
683,546
684,598
685,568
686,592
687,562
688,592
689,590
690,559
691,584
692,550
693,573
694,517
695,540
696,524
697,468
698,450
699,396
700,383
701,345
702,319
703,318
704,358
705,324
706,394
707,479
708,473
709,483
710,567
711,540
712,595
713,564
714,587
715,559
716,593
717,576
718,563
719,620
720,572
721,547
722,604
723,595
724,575
725,573
726,567
727,490
728,554
729,519
730,466
731,458
732,362
733,356
734,353
735,404
736,422
737,441
738,542
739,502
740,532
741,537
742,549
743,537
744,525
745,512
746,524
747,526
748,545
749,587
750,497
751,550
752,450
753,458
754,390
755,364
756,350
757,321
758,335
759,437
760,486
761,528
762,547
763,546
764,550
765,579
766,577
767,599
768,575
769,607
770,624
771,605
772,597
773,591
774,549
775,552
776,562
777,542
778,552
779,552
780,544
781,498
782,443
783,429
784,401
785,354
786,313
787,310
788,348
789,309
790,329
791,399
792,462
793,462
794,475
795,500
796,557
797,503
798,562
799,576
800,573
801,587
802,578
803,567
804,552
805,535
806,572
807,602
808,582
809,554
810,567
811,526
812,513
813,465
814,503
815,408
816,354
817,351
818,292
819,302
820,314
821,344
822,414
823,431
824,492
825,524
826,549
827,526
828,573
829,590
830,582
831,604
832,576
833,631
834,620
835,603
836,609
837,627
838,580
839,622
840,590
841,609
842,595
843,580
844,616
845,615
846,618
847,655
848,629
849,635
850,600
851,636
852,592
853,600
854,620
855,613
856,635
857,612
858,642
859,649
860,701
861,650
862,668
863,663
864,618
865,638
866,651
867,641
868,612
869,644
870,642
871,656
872,682
873,640
874,614
875,646
876,654
877,621
878,647
879,661
880,605
881,680
882,643
883,622
884,623
885,596
886,632
887,645
888,615
889,645
890,676
891,664
892,568
893,629
894,652
895,631
896,613
897,582
898,617
899,653
900,640
901,591
902,676
903,631
904,650
905,648
906,625
907,635
908,591
909,632
910,666
911,656
912,600
913,604
914,619
915,634
916,621
917,637
918,659
919,633
920,631
921,580
922,598
923,621
924,672
925,595
926,675
927,628
928,621
929,649
930,650
931,608
932,642
933,604
934,630
935,625
936,664
937,610
938,625
939,618
940,625
941,634
942,663
943,643
944,629
945,588
946,637
947,612
948,613
949,607
950,603
951,632
952,625
953,626
954,699
955,634
956,640
957,634
958,645
959,632
960,589
961,633
962,627
963,620
964,619
965,652
966,601
967,671
968,635
969,647
970,623
971,647
972,604
973,603
974,629
975,616
976,651
977,621
978,704
979,659
980,630
981,637
982,605
983,664
984,640
985,649
986,643
987,640
988,644
989,656
990,647
991,651
992,644
993,663
994,617
995,612
996,631
997,634
998,627
999,637
1000,650
1001,624
1002,627
1003,606
1004,595
1005,627
1006,673
1007,626
1008,691
1009,654
1010,686
1011,613
1012,614
1013,610
1014,612
1015,665
1016,582
1017,601
1018,643
1019,629
1020,598
1021,643
1022,672
1023,672
