Channel,,Counts
0,,34272
1,,34178
2,,34169
3,,33907
4,,34142
5,,33869
6,,34237
7,,33983
8,,34110
9,,33753
10,,33931
11,,33859
12,,33872
13,,34064
14,,33966
15,,34206
16,,34126
17,,34086
18,,34202
19,,33808
20,,33727
21,,33622
22,,33781
23,,33676
24,,34320
25,,34230
26,,33948
27,,33716
28,,34025
29,,34253
30,,34356
31,,34126
32,,34204
33,,34258
34,,34218
35,,34059
36,,34061
37,,33956
38,,34320
39,,34279
40,,34292
41,,33849
42,,34091
43,,33754
44,,34102
45,,33656
46,,33632
47,,34080
48,,33839
49,,34003
50,,34368
51,,33816
52,,34346
53,,33840
54,,34092
55,,33959
56,,34191
57,,33929
58,,34120
59,,34049
60,,34483
61,,34274
62,,33954
63,,33994
64,,34138
65,,34447
66,,34134
67,,34170
68,,34268
69,,33892
70,,34229
71,,33957
72,,33999
73,,33952
74,,33723
75,,34185
76,,34248
77,,34046
78,,34167
79,,34189
80,,34163
81,,34061
82,,34349
83,,33888
84,,34012
85,,34330
86,,34267
87,,34107
88,,34360
89,,34208
90,,34218
91,,33996
92,,33980
93,,34010
94,,33989
95,,34217
96,,33918
97,,34063
98,,34106
99,,33829
100,,33914
101,,33970
102,,34307
103,,33871
104,,33924
105,,34493
106,,33517
107,,34033
108,,33880
109,,34102
110,,34345
111,,34276
112,,33691
113,,34080
114,,33585
115,,33763
116,,33951
117,,34291
118,,34002
119,,34120
120,,34163
121,,33987
122,,34110
123,,34370
124,,34088
125,,34013
126,,33757
127,,34348
128,,34056
129,,34019
130,,33961
131,,33963
132,,34302
133,,33757
134,,34106
135,,34418
136,,34193
137,,34113
138,,34130
139,,34154
140,,33895
141,,33966
142,,33988
143,,34352
144,,34332
145,,33850
146,,34191
147,,34051
148,,34267
149,,33961
150,,34180
151,,33902
152,,34097
153,,34040
154,,34222
155,,33978
156,,33987
157,,34413
158,,33844
159,,34139
160,,34005
161,,34357
162,,34152
163,,33871
164,,33934
165,,34169
166,,33986
167,,34056
168,,33895
169,,34216
170,,34205
171,,34212
172,,34232
173,,34042
174,,33968
175,,33965
176,,34398
177,,34255
178,,33732
179,,34073
180,,34214
181,,34041
182,,34347
183,,33999
184,,33837
185,,34135
186,,34459
187,,34011
188,,34195
189,,33869
190,,33870
191,,33722
192,,34064
193,,33969
194,,34159
195,,34106
196,,33829
197,,34330
198,,34247
199,,33978
200,,34345
201,,34332
202,,33933
203,,34001
204,,34128
205,,33810
206,,34174
207,,33773
208,,33727
209,,34272
210,,33785
211,,34118
212,,34000
213,,33841
214,,34098
215,,34219
216,,33824
217,,33730
218,,33639
219,,33801
220,,33718
221,,33691
222,,33904
223,,33595
224,,33489
225,,33773
226,,33628
227,,32871
228,,32815
229,,32274
230,,31301
231,,30580
232,,28664
233,,26678
234,,24560
235,,23311
236,,22972
237,,23526
238,,25572
239,,28007
240,,30045
241,,31278
242,,32355
243,,32721
244,,33245
245,,33368
246,,33545
247,,33455
248,,33563
249,,34054
250,,33855
251,,33830
252,,33839
253,,33701
254,,34018
255,,34160
256,,34128
257,,33771
258,,33887
259,,33748
260,,34146
261,,34073
262,,33974
263,,34141
264,,34006
265,,34141
266,,34195
267,,34320
268,,33973
269,,34187
270,,34290
271,,34425
272,,34072
273,,34188
274,,33645
275,,34339
276,,34206
277,,34378
278,,34072
279,,34209
280,,33954
281,,34385
282,,34173
283,,34348
284,,34149
285,,34199
286,,34032
287,,34202
288,,33966
289,,34252
290,,33879
291,,33818
292,,34155
293,,34007
294,,33763
295,,34256
296,,34420
297,,34312
298,,34260
299,,34221
300,,34515
301,,34246
302,,34345
303,,34451
304,,34074
305,,34020
306,,34375
307,,34250
308,,34227
309,,34066
310,,33825
311,,34173
312,,34086
313,,34080
314,,33997
315,,34145
316,,33690
317,,34323
318,,34070
319,,33954
320,,33975
321,,34308
322,,33965
323,,34335
324,,34350
325,,34096
326,,34249
327,,33884
328,,34184
329,,34279
330,,34162
331,,34297
332,,34041
333,,34047
334,,33951
335,,34258
336,,34000
337,,34095
338,,33959
339,,34077
340,,34455
341,,34345
342,,33747
343,,34143
344,,33679
345,,34048
346,,33865
347,,34144
348,,34009
349,,34011
350,,33902
351,,34130
352,,33823
353,,34256
354,,33898
355,,34053
356,,34525
357,,34152
358,,34083
359,,34240
360,,34169
361,,34125
362,,33812
363,,33816
364,,34089
365,,34068
366,,34181
367,,34116
368,,33967
369,,34047
370,,34074
371,,34445
372,,34300
373,,34160
374,,33826
375,,34074
376,,33913
377,,34100
378,,33725
379,,34204
380,,33807
381,,34611
382,,34114
383,,34299
384,,34147
385,,33976
386,,33875
387,,34199
388,,33992
389,,34529
390,,34015
391,,34154
392,,34027
393,,34291
394,,34059
395,,34453
396,,34250
397,,34204
398,,33986
399,,34266
400,,34028
401,,34076
402,,34065
403,,33758
404,,34153
405,,33960
406,,33994
407,,34223
408,,34055
409,,33775
410,,34308
411,,34052
412,,33989
413,,33959
414,,34068
415,,33948
416,,34098
417,,34133
418,,33771
419,,34062
420,,33834
421,,34260
422,,34021
423,,34068
424,,34003
425,,34279
426,,34049
427,,34147
428,,34137
429,,34078
430,,34123
431,,34055
432,,33946
433,,34049
434,,33996
435,,34298
436,,34334
437,,33965
438,,33876
439,,33981
440,,34053
441,,34259
442,,34519
443,,34120
444,,34108
445,,33992
446,,33688
447,,34095
448,,34290
449,,34204
450,,34379
451,,33839
452,,34271
453,,34096
454,,34044
455,,33810
456,,33915
457,,33800
458,,34081
459,,33705
460,,34112
461,,34068
462,,33898
463,,33840
464,,33869
465,,34037
466,,33960
467,,34389
468,,34277
469,,33974
470,,34142
471,,34157
472,,33721
473,,34003
474,,33880
475,,33985
476,,33933
477,,34070
478,,34219
479,,33948
480,,33698
481,,34294
482,,34187
483,,33863
484,,34277
485,,33766
486,,33897
487,,34279
488,,34031
489,,33937
490,,34104
491,,34105
492,,33863
493,,34097
494,,34129
495,,33666
496,,34356
497,,34123
498,,33880
499,,33745
500,,33795
501,,33937
502,,34043
503,,33616
504,,34419
505,,33923
506,,34271
507,,34017
508,,33710
509,,33895
510,,34268
511,,34047
512,,33799
513,,34036
514,,34203
515,,33750
516,,34084
517,,33653
518,,34118
519,,34025
520,,34426
521,,33989
522,,33706
523,,34032
524,,33705
525,,34172
526,,34086
527,,34243
528,,33803
529,,34219
530,,34132
531,,33956
532,,33968
533,,34002
534,,33744
535,,33839
536,,33688
537,,34213
538,,34066
539,,33807
540,,33993
541,,33983
542,,33896
543,,34191
544,,33924
545,,34008
546,,33987
547,,34349
548,,33958
549,,34170
550,,34164
551,,34034
552,,33919
553,,33840
554,,33870
555,,34054
556,,33487
557,,34083
558,,33819
559,,33886
560,,33995
561,,33800
562,,33733
563,,34022
564,,34087
565,,33792
566,,34633
567,,34200
568,,34255
569,,34006
570,,33879
571,,34291
572,,33924
573,,33715
574,,34382
575,,34090
576,,33623
577,,33822
578,,34305
579,,34024
580,,33832
581,,33978
582,,34014
583,,34165
584,,33648
585,,33895
586,,34083
587,,33994
588,,34230
589,,33874
590,,34035
591,,33961
592,,34039
593,,34091
594,,33953
595,,34120
596,,33900
597,,33689
598,,34039
599,,34187
600,,34012
601,,33872
602,,34116
603,,34190
604,,33939
605,,34085
606,,33816
607,,33941
608,,34026
609,,33813
610,,33842
611,,34148
612,,34160
613,,33989
614,,33928
615,,34148
616,,34123
617,,33741
618,,34011
619,,33867
620,,33763
621,,34099
622,,33770
623,,34158
624,,33876
625,,33985
626,,34002
627,,33929
628,,33864
629,,33871
630,,33747
631,,33933
632,,34393
633,,34007
634,,34136
635,,34034
636,,34028
637,,34109
638,,33986
639,,34025
640,,33962
641,,33792
642,,33895
643,,34040
644,,33796
645,,33639
646,,34048
647,,34087
648,,33798
649,,34126
650,,33873
651,,33993
652,,33703
653,,33841
654,,34214
655,,33994
656,,33839
657,,34266
658,,34130
659,,34280
660,,34031
661,,33752
662,,33963
663,,34133
664,,33907
665,,34351
666,,33809
667,,33860
668,,33698
669,,34009
670,,33967
671,,33793
672,,34160
673,,33875
674,,34046
675,,33794
676,,34103
677,,33991
678,,33881
679,,34049
680,,33787
681,,33857
682,,33854
683,,33788
684,,34223
685,,33809
686,,33994
687,,34004
688,,33892
689,,34299
690,,33797
691,,33644
692,,34084
693,,33905
694,,33930
695,,33863
696,,33685
697,,34106
698,,33914
699,,33803
700,,33994
701,,34055
702,,33732
703,,34231
704,,34010
705,,33615
706,,33760
707,,33894
708,,33562
709,,33755
710,,33465
711,,34146
712,,33611
713,,33562
714,,34054
715,,33708
716,,33735
717,,33808
718,,34070
719,,33620
720,,34022
721,,33775
722,,33692
723,,33556
724,,33533
725,,33987
726,,33583
727,,33668
728,,33501
729,,33346
730,,33344
731,,33477
732,,33642
733,,33216
734,,33146
735,,32861
736,,32090
737,,30981
738,,29834
739,,27682
740,,25506
741,,23698
742,,22591
743,,23049
744,,24187
745,,26508
746,,28548
747,,30276
748,,31178
749,,31793
750,,32531
751,,32899
752,,32966
753,,33133
754,,33232
755,,33596
756,,33691
757,,33682
758,,33379
759,,33607
760,,33801
761,,33558
762,,33968
763,,34172
764,,33858
765,,34051
766,,34045
767,,33652
768,,33759
769,,33825
770,,34078
771,,33910
772,,33589
773,,33888
774,,33712
775,,33867
776,,33977
777,,33612
778,,34124
779,,33978
780,,33737
781,,33901
782,,34103
783,,34002
784,,33955
785,,33971
786,,33841
787,,34060
788,,34202
789,,33862
790,,34050
791,,33902
792,,33855
793,,34152
794,,34215
795,,33574
796,,34331
797,,33847
798,,33619
799,,33810
800,,34075
801,,34036
802,,34034
803,,34154
804,,34059
805,,34550
806,,34036
807,,34061
808,,34224
809,,33813
810,,33981
811,,33612
812,,34166
813,,33940
814,,33959
815,,33885
816,,33866
817,,33874
818,,33993
819,,34165
820,,33838
821,,33663
822,,34043
823,,34123
824,,33930
825,,34068
826,,34134
827,,33931
828,,33916
829,,33790
830,,34224
831,,34193
832,,33772
833,,33947
834,,34303
835,,34089
836,,34173
837,,33774
838,,33950
839,,34076
840,,33670
841,,34121
842,,33849
843,,33905
844,,34227
845,,33909
846,,33902
847,,34155
848,,33726
849,,34347
850,,33965
851,,34017
852,,34014
853,,33718
854,,34230
855,,34044
856,,34232
857,,34183
858,,33694
859,,33792
860,,33869
861,,33708
862,,33940
863,,33972
864,,33801
865,,33830
866,,33622
867,,33915
868,,33749
869,,33936
870,,34233
871,,34085
872,,34186
873,,33893
874,,34103
875,,33970
876,,33856
877,,34107
878,,33873
879,,34141
880,,33976
881,,33976
882,,34059
883,,33806
884,,33691
885,,33982
886,,33864
887,,34066
888,,33730
889,,34086
890,,33952
891,,34045
892,,33906
893,,34122
894,,33985
895,,34111
896,,33975
897,,34187
898,,34124
899,,34221
900,,34083
901,,34018
902,,34028
903,,33785
904,,33663
905,,34183
906,,33774
907,,34061
908,,33601
909,,33957
910,,34394
911,,33848
912,,33643
913,,34000
914,,33875
915,,34109
916,,33924
917,,34226
918,,34306
919,,34060
920,,33783
921,,34281
922,,34074
923,,33756
924,,33731
925,,33977
926,,33725
927,,33903
928,,34013
929,,34426
930,,34016
931,,34168
932,,34371
933,,33984
934,,34028
935,,34090
936,,34181
937,,34074
938,,34079
939,,34025
940,,34133
941,,33962
942,,33905
943,,34059
944,,34140
945,,34020
946,,34381
947,,33944
948,,34306
949,,34394
950,,33370
951,,33826
952,,33942
953,,33896
954,,34188
955,,34053
956,,33867
957,,34228
958,,33919
959,,34184
960,,33998
961,,34078
962,,34307
963,,34104
964,,33948
965,,33922
966,,33965
967,,34343
968,,33649
969,,33936
970,,34217
971,,33971
972,,34199
973,,34101
974,,34038
975,,34035
976,,34037
977,,34202
978,,33948
979,,33977
980,,34167
981,,34095
982,,33843
983,,33662
984,,33795
985,,33766
986,,34008
987,,33876
988,,34118
989,,34089
990,,34151
991,,34079
992,,34066
993,,34319
994,,34034
995,,33884
996,,34203
997,,33841
998,,34005
999,,33956
1000,,33857
1001,,33985
1002,,33929
1003,,33977
1004,,34457
1005,,33965
1006,,34108
1007,,34130
1008,,33963
1009,,34061
1010,,34253
1011,,34195
1012,,34013
1013,,34041
1014,,33939
1015,,33946
1016,,33992
1017,,33898
1018,,33853
1019,,34036
1020,,33742
1021,,34284
1022,,34039
1023,,34039
