Channel,,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,1
14,,216
15,,815
16,,883
17,,883
18,,924
19,,866
20,,830
21,,879
22,,972
23,,1087
24,,1352
25,,1522
26,,1922
27,,2387
28,,2868
29,,3241
30,,3560
31,,3805
32,,4039
33,,3881
34,,3646
35,,3275
36,,2787
37,,2459
38,,2166
39,,1740
40,,1415
41,,1276
42,,995
43,,870
44,,778
45,,644
46,,618
47,,555
48,,491
49,,501
50,,491
51,,511
52,,468
53,,476
54,,480
55,,526
56,,458
57,,489
58,,505
59,,535
60,,480
61,,501
62,,572
63,,550
64,,519
65,,465
66,,509
67,,550
68,,535
69,,506
70,,520
71,,535
72,,490
73,,544
74,,501
75,,483
76,,516
77,,503
78,,532
79,,554
80,,560
81,,652
82,,692
83,,654
84,,694
85,,753
86,,890
87,,881
88,,1003
89,,1107
90,,1226
91,,1374
92,,1508
93,,1686
94,,1810
95,,2031
96,,2210
97,,2282
98,,2353
99,,2574
100,,2747
101,,2765
102,,2739
103,,2570
104,,2539
105,,2431
106,,2291
107,,2017
108,,1901
109,,1655
110,,1477
111,,1257
112,,1095
113,,954
114,,826
115,,681
116,,613
117,,559
118,,505
119,,481
120,,416
121,,420
122,,408
123,,374
124,,385
125,,361
126,,346
127,,396
128,,416
129,,432
130,,380
131,,407
132,,406
133,,414
134,,397
135,,461
136,,485
137,,473
138,,480
139,,478
140,,529
141,,524
142,,521
143,,564
144,,555
145,,605
146,,592
147,,636
148,,607
149,,609
150,,627
151,,658
152,,640
153,,605
154,,615
155,,557
156,,592
157,,558
158,,498
159,,499
160,,537
161,,514
162,,495
163,,474
164,,464
165,,390
166,,490
167,,425
168,,447
169,,444
170,,446
171,,381
172,,445
173,,413
174,,408
175,,418
176,,413
177,,424
178,,387
179,,388
180,,378
181,,404
182,,374
183,,437
184,,371
185,,374
186,,404
187,,384
188,,363
189,,398
190,,357
191,,370
192,,381
193,,404
194,,373
195,,378
196,,375
197,,387
198,,357
199,,380
200,,370
201,,394
202,,394
203,,389
204,,356
205,,391
206,,369
207,,419
208,,404
209,,423
210,,394
211,,397
212,,408
213,,413
214,,437
215,,387
216,,430
217,,425
218,,444
219,,438
220,,420
221,,435
222,,437
223,,424
224,,386
225,,447
226,,478
227,,432
228,,430
229,,366
230,,448
231,,437
232,,466
233,,405
234,,445
235,,403
236,,415
237,,381
238,,431
239,,426
240,,392
241,,477
242,,445
243,,402
244,,406
245,,388
246,,399
247,,431
248,,404
249,,428
250,,390
251,,444
252,,470
253,,432
254,,456
255,,409
256,,458
257,,421
258,,410
259,,425
260,,414
261,,427
262,,419
263,,482
264,,439
265,,440
266,,416
267,,458
268,,433
269,,472
270,,459
271,,464
272,,494
273,,454
274,,441
275,,439
276,,443
277,,433
278,,490
279,,522
280,,450
281,,470
282,,540
283,,562
284,,475
285,,469
286,,524
287,,462
288,,489
289,,509
290,,512
291,,492
292,,502
293,,494
294,,574
295,,551
296,,521
297,,536
298,,530
299,,565
300,,566
301,,565
302,,583
303,,539
304,,609
305,,588
306,,564
307,,639
308,,612
309,,601
310,,610
311,,604
312,,649
313,,660
314,,647
315,,662
316,,627
317,,643
318,,652
319,,645
320,,668
321,,687
322,,645
323,,656
324,,653
325,,665
326,,631
327,,647
328,,648
329,,669
330,,708
331,,651
332,,717
333,,644
334,,640
335,,664
336,,667
337,,641
338,,665
339,,620
340,,643
341,,621
342,,641
343,,673
344,,663
345,,638
346,,548
347,,582
348,,593
349,,556
350,,568
351,,581
352,,543
353,,513
354,,591
355,,562
356,,523
357,,520
358,,509
359,,517
360,,485
361,,469
362,,480
363,,502
364,,455
365,,458
366,,465
367,,463
368,,462
369,,443
370,,471
371,,439
372,,461
373,,449
374,,443
375,,430
376,,451
377,,408
378,,422
379,,426
380,,417
381,,427
382,,399
383,,419
384,,387
385,,389
386,,419
387,,409
388,,434
389,,425
390,,417
391,,372
392,,443
393,,403
394,,424
395,,455
396,,439
397,,396
398,,446
399,,461
400,,396
401,,429
402,,455
403,,466
404,,415
405,,389
406,,430
407,,405
408,,442
409,,363
410,,448
411,,425
412,,454
413,,459
414,,405
415,,430
